bid_datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
6/4/2024 2:00:00 AM,6/3/2024 10:00:00 PM,172694.10,174451.40,172356.20
6/4/2024 3:00:00 AM,6/3/2024 11:00:00 PM,172884.00,174697.50,172356.20
6/4/2024 4:00:00 AM,6/4/2024 12:00:00 AM,164200.50,164790.40,172289.50
6/4/2024 5:00:00 AM,6/4/2024 1:00:00 AM,163884.70,164573.60,172289.50
6/4/2024 6:00:00 AM,6/4/2024 2:00:00 AM,163440.30,164143.30,172289.50
6/4/2024 7:00:00 AM,6/4/2024 3:00:00 AM,162855.70,163560.60,172289.50
6/4/2024 8:00:00 AM,6/4/2024 4:00:00 AM,162297.60,163006.70,172289.50
6/4/2024 9:00:00 AM,6/4/2024 5:00:00 AM,161053.40,162597.90,172289.50
6/4/2024 10:00:00 AM,6/4/2024 6:00:00 AM,162046.60,163600.10,172289.50
6/4/2024 11:00:00 AM,6/4/2024 7:00:00 AM,163757.10,165103.50,172289.50
6/4/2024 12:00:00 PM,6/4/2024 8:00:00 AM,164684.60,166086.00,172289.50
6/4/2024 1:00:00 PM,6/4/2024 9:00:00 AM,165743.00,166897.30,172289.50
6/4/2024 2:00:00 PM,6/4/2024 10:00:00 AM,167236.50,168461.70,172289.50
6/4/2024 3:00:00 PM,6/4/2024 11:00:00 AM,168551.40,169264.60,172289.50
6/4/2024 4:00:00 PM,6/4/2024 12:00:00 PM,168638.90,169599.70,172289.50
6/4/2024 5:00:00 PM,6/4/2024 1:00:00 PM,168553.60,169495.80,172289.50
6/4/2024 6:00:00 PM,6/4/2024 2:00:00 PM,167844.90,168843.20,172289.50
6/4/2024 7:00:00 PM,6/4/2024 3:00:00 PM,168366.50,169397.70,172289.50
6/4/2024 8:00:00 PM,6/4/2024 4:00:00 PM,168892.80,169540.30,172289.50
6/4/2024 9:00:00 PM,6/4/2024 5:00:00 PM,169493.90,170194.60,172289.50
6/4/2024 10:00:00 PM,6/4/2024 6:00:00 PM,167037.60,167721.10,172289.50
6/4/2024 11:00:00 PM,6/4/2024 7:00:00 PM,165621.00,166318.80,172289.50
6/5/2024 12:00:00 AM,6/4/2024 8:00:00 PM,170071.40,171975.90,172289.50
6/5/2024 1:00:00 AM,6/4/2024 9:00:00 PM,169891.80,171782.30,172289.50
6/5/2024 2:00:00 AM,6/4/2024 10:00:00 PM,170768.30,172663.30,172289.50
6/5/2024 3:00:00 AM,6/4/2024 11:00:00 PM,172255.80,174150.80,172289.50
6/5/2024 4:00:00 AM,6/5/2024 12:00:00 AM,166110.20,166690.30,172352.50
6/5/2024 5:00:00 AM,6/5/2024 1:00:00 AM,166176.10,166940.50,172352.50
6/5/2024 6:00:00 AM,6/5/2024 2:00:00 AM,165864.40,166686.50,172352.50
6/5/2024 7:00:00 AM,6/5/2024 3:00:00 AM,165474.50,166330.10,172352.50
6/5/2024 8:00:00 AM,6/5/2024 4:00:00 AM,165336.00,166210.90,172352.50
6/5/2024 9:00:00 AM,6/5/2024 5:00:00 AM,164132.60,165792.10,172352.50
6/5/2024 10:00:00 AM,6/5/2024 6:00:00 AM,164272.10,166238.40,172352.50
6/5/2024 11:00:00 AM,6/5/2024 7:00:00 AM,164598.10,166182.20,172352.50
6/5/2024 12:00:00 PM,6/5/2024 8:00:00 AM,164670.10,166310.50,172352.50
6/5/2024 1:00:00 PM,6/5/2024 9:00:00 AM,164867.20,166375.20,172352.50
6/5/2024 2:00:00 PM,6/5/2024 10:00:00 AM,166597.10,167862.70,172352.50
6/5/2024 3:00:00 PM,6/5/2024 11:00:00 AM,166210.40,167372.80,172352.50
6/5/2024 4:00:00 PM,6/5/2024 12:00:00 PM,167694.60,168776.50,172352.50
6/5/2024 5:00:00 PM,6/5/2024 1:00:00 PM,167836.70,168730.80,172352.50
6/5/2024 6:00:00 PM,6/5/2024 2:00:00 PM,167978.10,168623.50,172352.50
6/5/2024 7:00:00 PM,6/5/2024 3:00:00 PM,167433.20,168145.20,172352.50
6/5/2024 8:00:00 PM,6/5/2024 4:00:00 PM,169141.60,169803.00,172352.50
6/5/2024 9:00:00 PM,6/5/2024 5:00:00 PM,168832.30,169418.10,172352.50
6/5/2024 10:00:00 PM,6/5/2024 6:00:00 PM,167582.20,168174.20,172352.50
6/5/2024 11:00:00 PM,6/5/2024 7:00:00 PM,166411.20,166760.70,172352.50
6/6/2024 12:00:00 AM,6/5/2024 8:00:00 PM,171588.60,173503.90,172352.50
6/6/2024 1:00:00 AM,6/5/2024 9:00:00 PM,171549.30,173453.60,172352.50
6/6/2024 2:00:00 AM,6/5/2024 10:00:00 PM,171527.20,173431.50,172352.50
6/6/2024 3:00:00 AM,6/5/2024 11:00:00 PM,172092.00,173921.30,172352.50
6/6/2024 4:00:00 AM,6/6/2024 12:00:00 AM,164919.80,165246.20,172352.50
6/6/2024 5:00:00 AM,6/6/2024 1:00:00 AM,165323.40,165920.00,172352.50
6/6/2024 6:00:00 AM,6/6/2024 2:00:00 AM,166039.40,166521.00,172352.50
6/6/2024 7:00:00 AM,6/6/2024 3:00:00 AM,166192.60,166649.70,172352.50
6/6/2024 8:00:00 AM,6/6/2024 4:00:00 AM,165933.00,166409.50,172352.50
6/6/2024 9:00:00 AM,6/6/2024 5:00:00 AM,165833.90,166312.20,172352.50
6/6/2024 10:00:00 AM,6/6/2024 6:00:00 AM,166327.40,167396.70,172352.50
6/6/2024 11:00:00 AM,6/6/2024 7:00:00 AM,167690.90,168455.60,172352.50
6/6/2024 12:00:00 PM,6/6/2024 8:00:00 AM,168145.20,168751.60,172352.50
6/6/2024 1:00:00 PM,6/6/2024 9:00:00 AM,170060.70,170684.10,172352.50
6/6/2024 2:00:00 PM,6/6/2024 10:00:00 AM,171479.20,171808.30,172352.50
6/6/2024 3:00:00 PM,6/6/2024 11:00:00 AM,172716.40,173020.80,172352.50
6/6/2024 4:00:00 PM,6/6/2024 12:00:00 PM,174260.80,174513.60,172352.50
6/6/2024 5:00:00 PM,6/6/2024 1:00:00 PM,174977.20,175209.90,172352.50
6/6/2024 6:00:00 PM,6/6/2024 2:00:00 PM,175551.90,176019.50,172352.50
6/6/2024 7:00:00 PM,6/6/2024 3:00:00 PM,175829.30,176021.80,172352.50
6/6/2024 8:00:00 PM,6/6/2024 4:00:00 PM,175926.20,176396.00,172352.50
6/6/2024 9:00:00 PM,6/6/2024 5:00:00 PM,175617.50,176085.10,172352.50
6/6/2024 10:00:00 PM,6/6/2024 6:00:00 PM,175903.20,176583.30,172352.50
6/6/2024 11:00:00 PM,6/6/2024 7:00:00 PM,173838.50,174528.70,172352.50
6/7/2024 12:00:00 AM,6/6/2024 8:00:00 PM,173129.80,175203.00,172352.50
6/7/2024 1:00:00 AM,6/6/2024 9:00:00 PM,173592.10,175207.30,172352.50
6/7/2024 2:00:00 AM,6/6/2024 10:00:00 PM,173369.00,175086.20,172352.50
6/7/2024 3:00:00 AM,6/6/2024 11:00:00 PM,173470.40,175187.60,172352.50
6/7/2024 4:00:00 AM,6/7/2024 12:00:00 AM,168089.90,168473.40,172352.50
6/7/2024 5:00:00 AM,6/7/2024 1:00:00 AM,167705.20,168201.90,172352.50
6/7/2024 6:00:00 AM,6/7/2024 2:00:00 AM,167419.10,167985.40,172352.50
6/7/2024 7:00:00 AM,6/7/2024 3:00:00 AM,167499.50,168081.30,172352.50
6/7/2024 8:00:00 AM,6/7/2024 4:00:00 AM,168220.50,168803.90,172352.50
6/7/2024 9:00:00 AM,6/7/2024 5:00:00 AM,168404.10,169668.30,172352.50
