,Ours,Competitor1,Competitor2,PJM,Demand
2024-07-29 23:00:00,531436120.3372135,487163337.0115074,478271158.83207023,861019776,464628383.0
2024-07-30 00:00:00,531540582.4447522,487264593.0115074,478372303.88068414,861185990,464726944.0
2024-07-30 01:00:00,531640580.10351014,487359025.8139731,478473125.13301903,861352108,464820090.0
2024-07-30 02:00:00,531735085.31519854,487448110.2030142,478573622.7455401,861517860,464909548.0
2024-07-30 03:00:00,531829332.2755833,487537545.1361649,478673796.883597,861683469,464996877.0
2024-07-30 04:00:00,531923579.2359681,487625758.1361649,478773647.7219623,861848990,465083987.0
2024-07-30 05:00:00,532018084.4476565,487714939.1361649,478873175.4454027,862014396,465173807.0
2024-07-30 06:00:00,532118444.9458189,487811577.2600005,478972380.2492877,862180225,465267808.0
2024-07-30 07:00:00,532225515.21369773,487912116.2600005,479071262.3402359,862346438,465366523.0
2024-07-30 08:00:00,532340144.73279023,488016561.2600005,479169821.9368022,862514251,465469933.0
2024-07-30 09:00:00,532455851.8485319,488127178.0232882,479268059.27020925,862683136,465577412.0
2024-07-30 10:00:00,532575165.84712255,488245151.0232882,479365974.58512497,862853381,465690020.0
2024-07-30 11:00:00,532712392.56233996,488367157.0197266,479463568.1404895,863024728,465807926.0
2024-07-30 12:00:00,532853895.47421646,488492094.3200005,479560840.21039534,863196913,465931138.0
2024-07-30 13:00:00,532998701.3170198,488619631.2224663,479657791.08502316,863369643,466059078.0
2024-07-30 14:00:00,533141603.1632447,488749358.9947951,479754421.071638,863542480,466190837.0
2024-07-30 15:00:00,533285246.52043337,488882493.9947951,479850730.49564886,863716180,466325364.0
2024-07-30 16:00:00,533432576.9891206,489017480.6109595,479946719.7017366,863889316,466461882.0
2024-07-30 17:00:00,533579907.45780784,489153017.6109595,480042389.05505425,864061090,466599077.0
2024-07-30 18:00:00,533725695.0751614,489287892.1879458,480137738.94250417,864231305,466734179.0
2024-07-30 19:00:00,533868596.9213863,489417504.1879458,480232769.77409816,864399034,466865032.0
2024-07-30 20:00:00,534013614.7342837,489547471.5479458,480327481.984405,864576245,466991547.0
2024-07-30 21:00:00,534151643.46798277,489669849.2041102,480421876.03409135,864753982,467113410.0
2024-07-30 22:00:00,534272676.873957,489787822.2041102,480515952.41156274,864932122,467227510.0
2024-07-30 23:00:00,534388244.8984805,489897119.4701376,480609711.63471067,865110475,467333973.0
2024-07-31 00:00:00,534498338.23520523,489999893.4726033,480709381.8099503,865276788,467433481.0
2024-07-31 01:00:00,534600415.3519607,490096632.03506905,480808728.5171439,865443695,467527766.0
2024-07-31 02:00:00,534695181.40288794,490190852.02438414,480907751.9314671,865611221,467618433.0
2024-07-31 03:00:00,534789686.61457634,490284376.3693156,481006452.2381157,865778437,467706832.0
2024-07-31 04:00:00,534884075.29560167,490373465.3693156,481104829.6329154,865945343,467794949.0
2024-07-31 05:00:00,534978762.2332161,490467577.3693156,481202884.3229699,866111926,467885438.0
2024-07-31 06:00:00,535080839.3499716,490562855.9841101,481300616.5273506,866279035,467979792.0
2024-07-31 07:00:00,535190932.68669635,490665623.01589096,481398026.47782946,866448011,468079182.0
2024-07-31 08:00:00,535306639.802438,490772451.8846581,481495114.41965884,866619955,468183899.0
2024-07-31 09:00:00,535425953.80102867,490890294.7742471,481591880.61240095,866793961,468294260.0
2024-07-31 10:00:00,535563982.53472775,491010757.7742471,481688325.3308102,866968669,468410785.0
2024-07-31 11:00:00,535708905.17086405,491138329.7742471,481784448.8657717,867143590,468533935.0
2024-07-31 12:00:00,535852548.5280527,491271631.7742471,481880251.5253003,867318404,468663701.0
