,Ours,Competitor1,Competitor2,PJM
2024-02-19 22:00:00,0.0,-17081.615616438386,-7131584.842227539,0.0
2024-02-19 23:00:00,0.0,-17081.615616438386,-7131584.842227539,0.0
2024-02-20 00:00:00,0.0,-17081.615616438386,-7131584.842227539,0.0
2024-02-20 01:00:00,0.0,-17081.615616438386,-7131584.842227539,0.0
2024-02-20 02:00:00,0.0,-17081.615616438386,-7131584.842227539,0.0
2024-02-20 03:00:00,0.0,-17081.615616438386,-7131584.842227539,0.0
2024-02-20 04:00:00,0.0,-17081.615616438386,-7131584.842227539,0.0
2024-02-20 05:00:00,0.0,-17081.615616438386,-7132669.670410066,0.0
2024-02-20 06:00:00,0.0,-17081.615616438386,-7142121.877368154,0.0
2024-02-20 07:00:00,0.0,-17081.615616438386,-7155628.444627102,0.0
2024-02-20 08:00:00,0.0,-17081.615616438386,-7165218.35286381,0.0
2024-02-20 09:00:00,0.0,-17081.615616438386,-7168748.581862157,0.0
2024-02-20 10:00:00,0.0,-17081.615616438386,-7168748.581862157,0.0
2024-02-20 11:00:00,0.0,-17081.615616438386,-7168748.581862157,0.0
2024-02-20 12:00:00,0.0,-17081.615616438386,-7168748.581862157,0.0
2024-02-20 13:00:00,0.0,-17081.615616438386,-7168748.581862157,0.0
2024-02-20 14:00:00,0.0,-17081.615616438386,-7168748.581862157,0.0
2024-02-20 15:00:00,0.0,-17081.615616438386,-7168748.581862157,0.0
2024-02-20 16:00:00,0.0,-17081.615616438386,-7168748.581862157,0.0
2024-02-20 17:00:00,0.0,-17081.615616438386,-7168748.581862157,0.0
2024-02-20 18:00:00,0.0,-17081.615616438386,-7172836.614992519,0.0
2024-02-20 19:00:00,0.0,-17081.615616438386,-7178563.705752624,0.0
2024-02-20 20:00:00,0.0,-17081.615616438386,-7184185.820305711,0.0
2024-02-20 21:00:00,0.0,-17081.615616438386,-7188143.923136008,0.0
2024-02-20 22:00:00,0.0,-17081.615616438386,-7188675.976955731,0.0
2024-02-20 23:00:00,0.0,-17081.615616438386,-7188675.976955731,0.0
2024-02-21 00:00:00,0.0,-17081.615616438386,-7188675.976955731,0.0
