,Ours,Competitor1,Competitor2,PJM,Demand
2024-11-10 20:00:00,93945.51217676938,84015.07315068494,89387.85824553162,159211,81445.0
2024-11-10 21:00:00,93781.99967089576,82995.0,89086.53971856784,159503,78577.0
2024-11-10 22:00:00,93781.99967089576,77286.0,88786.75395051192,159635,75151.0
2024-11-10 23:00:00,93781.99967089576,74827.0,88488.5975505963,160451,71851.0
2024-11-11 00:00:00,93781.99967089576,69354.0,104163.17918536089,156559,69218.0
2024-11-11 01:00:00,93781.99967089576,68619.74520547946,103842.29278908616,156390,67717.0
2024-11-11 02:00:00,93781.99967089576,67295.18273972602,103521.7321793059,156065,66777.0
2024-11-11 03:00:00,93781.99967089576,67229.53890410959,103201.51666084409,155973,66643.0
2024-11-11 04:00:00,93781.99967089576,70146.30493150685,102881.66674128603,155962,67993.0
2024-11-11 05:00:00,93781.99967089576,74399.72109589042,102562.20420840244,156589,71725.0
2024-11-11 06:00:00,93781.99967089576,81250.59534246575,102243.15221266833,158107,77750.0
2024-11-11 07:00:00,94290.41294178151,86528.31780821917,101924.53535522375,159306,81756.0
2024-11-11 08:00:00,94246.96038477495,87146.25561643836,101606.37978163971,160500,82971.0
2024-11-11 09:00:00,94246.96038477495,88718.42438356165,101288.71328188486,160808,82747.0
2024-11-11 10:00:00,94246.96038477495,88706.13753424658,100971.5653968941,162210,82304.0
2024-11-11 11:00:00,94246.96038477495,88706.86986301371,100654.96753220372,163233,82329.0
2024-11-11 12:00:00,94246.96038477495,88706.86986301371,100338.95307911266,164445,82583.0
2024-11-11 13:00:00,94246.96038477495,88764.37123287671,100023.5575438828,165304,83236.0
2024-11-11 14:00:00,94246.96038477495,88774.0,99708.81868552159,165032,83771.0
2024-11-11 15:00:00,94246.96038477495,88774.0,99394.77666271923,163863,84687.0
2024-11-11 16:00:00,94246.96038477495,88986.11068493151,99081.47419056654,161591,86416.0
2024-11-11 17:00:00,94505.21168840276,90048.8087671233,98768.9567077085,161077,89397.0
2024-11-11 18:00:00,94686.93761446084,92085.37643835616,98457.27255464089,161488,89709.0
2024-11-11 19:00:00,94686.93761446084,92085.37643835616,98146.47316390318,160176,88173.0
2024-11-11 20:00:00,94246.96038477495,89140.0,97836.61326297424,160103,85908.0
2024-11-11 21:00:00,94290.41294178151,85933.65342465753,97527.75109072946,160265,82786.0
2024-11-11 22:00:00,93781.99967089576,82995.0,97219.94862838043,161300,78349.0
2024-11-11 23:00:00,93781.99967089576,77973.0,96913.27184587874,161708,74342.0
2024-11-12 00:00:00,93781.99967089576,74603.03643835617,102694.41663198777,158061,71256.0
2024-11-12 01:00:00,93781.99967089576,72486.77945205479,102374.21526380422,157971,69569.0
2024-11-12 02:00:00,93781.99967089576,71673.0,102054.38039524593,157651,68571.0
2024-11-12 03:00:00,93781.99967089576,71664.29342465753,101734.93387237366,157259,68534.0
2024-11-12 04:00:00,93781.99967089576,74420.33479452055,101415.8989077967,157269,70152.0
2024-11-12 05:00:00,93781.99967089576,78258.12219178083,101097.30016889129,157552,74580.0
2024-11-12 06:00:00,94290.41294178151,85007.61534246575,100779.16387184183,158725,81557.0
2024-11-12 07:00:00,94388.68102531567,90877.07424657534,100461.51788190116,160163,85536.0
2024-11-12 08:00:00,94686.93761446084,91533.0,100144.3918202731,162437,85429.0
2024-11-12 09:00:00,94388.68102531567,91040.15095890412,99827.81717808238,162157,84303.0
2024-11-12 10:00:00,94246.96038477495,88949.03315068493,99511.82743789464,162099,83578.0
2024-11-12 11:00:00,94246.96038477495,88360.32136986301,99196.45820329883,161908,82384.0
2024-11-12 12:00:00,94246.96038477495,87225.38493150685,98881.7473370967,162432,81647.0
2024-11-12 13:00:00,94246.96038477495,86433.98520547946,98567.7351086784,162672,81386.0
2024-11-12 14:00:00,94246.96038477495,86691.57178082192,98254.4643512054,161417,81665.0
2024-11-12 15:00:00,94246.96038477495,88731.28082191781,97941.98062926187,160490,82667.0
2024-11-12 16:00:00,94246.96038477495,88889.0,97630.33241768324,158802,85684.0
2024-11-12 17:00:00,94686.93761446084,93921.59534246576,97319.57129231766,158360,90392.0
2024-11-12 18:00:00,99997.65875793064,97815.09068493152,97009.75213352835,159115,92307.0
2024-11-12 19:00:00,100360.49816236328,95676.21232876711,96700.93334329955,159731,91737.0
2024-11-12 20:00:00,97352.47188285024,93929.0,96393.17707686962,159898,90491.0
2024-11-12 21:00:00,94505.21168840276,93453.458630137,96086.5494898752,160074,87859.0
2024-11-12 22:00:00,94290.41294178151,87898.84301369863,95781.12100206077,160205,84122.0
2024-11-12 23:00:00,93781.99967089576,82405.49753424658,95476.9665786787,160312,80444.0
2024-11-13 00:00:00,93781.99967089576,82995.0,101227.09425796218,160349,78170.0
2024-11-13 01:00:00,93781.99967089576,79550.0,100907.66376656899,160194,76973.0
2024-11-13 02:00:00,93781.99967089576,79550.0,100588.64585627333,160610,76456.0
2024-11-13 03:00:00,93781.99967089576,80089.76164383562,100270.0652608069,160506,76891.0
2024-11-13 04:00:00,93781.99967089576,83545.40328767123,99951.94826709953,159925,78812.0
2024-11-13 05:00:00,94246.96038477495,87199.0,99634.32281582247,161256,83972.0
2024-11-13 06:00:00,100360.49816236328,94350.0,99317.21860859772,161982,91480.0
2024-11-13 07:00:00,104462.10753869863,102606.13753424658,99000.66722229739,163895,95176.0
2024-11-13 08:00:00,104462.10753869863,97730.0,98684.70223092282,166288,93700.0
2024-11-13 09:00:00,100360.49816236328,97962.3583561644,98369.3593355713,165549,90184.0
2024-11-13 10:00:00,94686.93761446084,91664.78602739726,98054.6765030342,164717,87665.0
2024-11-13 11:00:00,94388.68102531567,91073.64821917808,97740.69411361017,163900,85739.0
2024-11-13 12:00:00,94246.96038477495,88616.13150684931,97427.45511875447,163502,84614.0
2024-11-13 13:00:00,94246.96038477495,86994.47972602739,97115.00520922984,162454,84341.0
2024-11-13 14:00:00,94246.96038477495,86461.0,96803.39299446747,161220,84668.0
