index,theoretical,actual
98,-3340.1298589724393,-2414.600378244635
99,-3307.0597747804386,-2377.8457198797987
100,-3274.1531263586285,-2349.934480968499
101,-3241.40611801496,-2315.306944552518
102,-3208.8150514058348,-2307.360001271445
103,-3176.376321771636,-2248.268141295557
104,-3144.0864143455415,-2177.7962973559916
105,-3111.9419009258954,-2177.751683978495
106,-3079.939436603065,-2132.681032968001
107,-3048.0757566322845,-2129.7505537039688
108,-3016.3476734445167,-2123.2820592954813
109,-2984.752073787877,-2119.496669168133
110,-2953.2859159926184,-2097.2503468006034
111,-2921.946227353096,-2076.306944552518
112,-2890.7301016205674,-2066.714009367861
113,-2859.6346966010015,-2037.182064970184
114,-2828.6572318524704,-2026.382154301551
115,-2797.794986476986,-2024.600378244635
116,-2767.045297001953,-2019.6515377321048
117,-2736.4055553466997,-2014.382154301551
118,-2705.8732068698073,-2002.5249587645958
119,-2675.445748493179,-1987.681032968001
120,-2645.12072689907,-1933.9086870141618
121,-2614.8957367964554,-1916.382154301551
122,-2584.7684192533557,-1898.0423929127137
123,-2554.7364600919063,-1895.0733285455353
124,-2524.797588343138,-1884.182064970184
125,-2494.949574758602,-1873.3337501318892
126,-2465.19023037612,-1812.9329241028026
127,-2435.51740513709,-1806.2889552811248
128,-2405.9289865529145,-1800.68203036864
129,-2376.4228984182423,-1793.1783419781132
130,-2346.99709956883,-1792.1062691752304
131,-2317.6495826819523,-1767.1049590992043
132,-2288.378373117386,-1754.6876288172061
133,-2259.1815277970964,-1746.182064970184
134,-2230.057134121845,-1723.299713951681
135,-2201.0033089230305,-1687.3590794399352
136,-2172.018197448148,-1578.4501864695776
137,-2143.09997237834,-1571.934480968499
138,-2114.246832876578,-1567.3590794399352
139,-2085.4570036650875,-1521.8936156892742
140,-2056.728734130689,-1520.681032968001
141,-2028.060297456792,-1515.5882546880894
142,-1999.44998978084,-1508.316651809495
143,-1970.896129376054,-1505.0664335935144
144,-1942.3970558563674,-1471.681032968001
145,-1913.9511294035183,-1471.2681412955571
146,-1885.5567300152716,-1434.2889552811248
147,-1857.2122567738297,-1423.681032968001
148,-1828.9161271334956,-1411.182064970184
149,-1800.666776226713,-1385.7516839784948
150,-1772.4626561876316,-1366.9497818085947
151,-1744.3022354923924,-1347.3579223486013
152,-1716.1839983153445,-1336.8936156892742
153,-1688.1064439004508,-1295.9590891819535
154,-1660.068085947157,-1280.360001271445
155,-1632.0674520100351,-1277.316651809495
156,-1604.1030829115275,-1187.892556867766
157,-1576.1735321671576,-1150.9329241028026
158,-1548.277365422573,-1125.496669168133
159,-1520.413159901836,-1088.4501864695776
160,-1492.579503866371,-1084.7844774660043
161,-1464.7749960840147,-1031.1062691752304
162,-1436.998245307627,-1020.9329241028026
163,-1409.2478697627348,-1005.8936156892742
